"","site","quads","Lat","Long","MAT","MAP","TSD","PCV","%Sand","%N","BA"
"11656",1103,80,42.6555,-87.8689,8.863780186,927.2928362,10.39666338,0.611996922,45,0.328993502,15.2374
"11841",1104,80,42.5819,-88.4576,9.168848435,892.7039661,10.7744466,0.653737006,45,0.530853198,31.3611
"12026",1106,120,42.7177,-89.1333,8.61691526,913.717014,10.98127182,0.671951923,57,0.203216557,33.2884
"12211",1107,120,42.6202,-89.8388,8.282455148,947.1533194,11.08043302,0.702111417,63,0.307874533,10.5235
"12396",1108,120,42.7645,-89.5127,8.383453113,939.3373448,11.06274892,0.679274095,27,0.215081463,23.5409
"12581",1109,120,42.9,-89.6943,8.203157501,938.9420677,11.11812998,0.690766582,19,0.339275138,26.8047
"12766",1110,120,43.7266,-90.9883,8.15846488,840.5952118,11.60220283,0.722260116,33,0.329995768,15.027
"12951",1111,80,43.9085,-91.1485,8.391099015,830.5587383,11.71291869,0.706070136,19,0.149825752,23.0798
"13136",1112,90,43.7301,-91.089,8.332783528,850.2260955,11.62790445,0.712930812,17,0.280246662,14.1097
"13321",1114,80,44.02,-91.4949,8.582738176,834.2988516,11.78195443,0.71405803,69,0.091662401,30.6496
"13506",1117,80,44.2715,-91.7622,8.346429106,862.5246868,11.92456887,0.740644405,43,0.303556339,27.9533
"13691",1118,80,44.4097,-91.707,8.122480248,876.6908936,11.9306567,0.714404572,75,0.14646743,11.5816
"13876",1119,80,44.6197,-91.7435,7.875527828,886.9074099,11.95521033,0.693576363,25,0.23322554,34.0397
"14061",1120,80,44.5538,-91.8923,7.939556498,895.9113187,11.97886954,0.711904672,41,0.258487523,15.7428
"14246",1122,100,44.7872,-92.0999,7.492298917,897.4956836,12.07599707,0.694557822,39,0.395319989,13.055
"14431",1123,80,44.8796,-92.0896,7.34975113,898.3140677,12.07139134,0.696390648,45,0.397618473,14.8097
"14616",1127,80,44.8321,-91.1539,6.755896692,917.2960239,11.90329329,0.673675947,35,0.271699251,14.6067
"14801",1150,40,42.836,-89.4639,8.374814219,937.9471646,11.06910659,0.675360641,87,0.121676406,18.3791
"14986",1151,100,42.6909,-90.5327,8.440582281,913.7312373,11.20444398,0.750411032,25,0.319856955,16.7022
"15171",1181,200,43.3639,-89.3644,8.210502694,922.9622518,11.18379186,0.701033503,21,0.31034612,30.6431
"15356",1185,120,42.5798,-90.0259,8.249254378,938.8682044,11.04216475,0.704220077,17,0.194908404,18.5453
"15541",1230,80,43.2756,-89.4844,8.159192199,950.5964773,11.19209821,0.690114776,23,0.220389933,16.9376
"15726",1233,120,43.0788,-89.6737,8.128218962,971.8378365,11.18107129,0.685473489,15,0.231068655,28.2325
"15911",2014,80,45.2907,-86.9914,6.764257433,791.3179428,10.21805103,0.532125207,59,0.38,19.1304
"16096",2015,120,43.9694,-88.2035,7.755005078,779.6938066,10.9331176,0.653154485,27,0.379222804,16.1145
"16281",2016,80,45.1544,-87.1994,6.820165723,810.4010544,10.45482638,0.537813163,49,0.28,24.516
"16466",2021,120,43.2932,-88.1052,8.246534628,878.4636702,10.63117626,0.702492335,37,0.412652974,20.3526
"16651",2024,80,43.2068,-88.2276,8.346293713,880.7504254,10.68537254,0.706126452,29,0.425526459,29.1243
"16836",2025,80,43.3913,-88.121,8.210253267,852.0616242,10.69563895,0.682399957,31,0.392909225,22.8531
"17021",2026,80,43.6044,-87.9503,8.122846345,834.6264519,10.62919411,0.681245749,37,0.463187538,15.1203
"17206",2027,80,43.6426,-87.7331,8.203538056,850.4597453,10.51851593,0.681029974,87,0.30899056,23.1444
"17391",2028,80,43.7652,-88.1893,7.910914331,800.3170781,10.81506129,0.669155658,39,0.368727271,19.592
"17576",2030,80,44.45,-87.6051,7.282031472,775.9745172,10.35099938,0.624169035,51,0.22,10.9597
"17761",2031,80,44.2543,-87.8527,7.547427799,766.9759849,10.59854963,0.63132141,53,0.32,22.7161
"17946",2032,80,44.8779,-87.4513,7.060363634,811.2535234,10.48815931,0.574248459,61,0.41,27.5284
"18131",2033,80,45.2772,-87.0655,6.76111864,796.8468421,10.31945428,0.526596343,53,0.24,17.0568
"18316",2038,80,44.579,-87.4762,7.212195368,785.7919715,10.32077323,0.615407121,48,0.84,16.9142
"18501",2040,80,42.9239,-87.8504,8.862824638,908.0186235,10.47127955,0.671580026,51,0.197206213,21.2543
"18686",2041,80,42.9798,-87.8718,8.876098515,905.1073323,10.47624057,0.683544,59,0.287658507,24.3961
"18871",2045,80,44.7418,-88.4577,6.875014458,814.7149196,11.25865378,0.652959914,41,0.19,24.6236
"19056",2047,80,45.0915,-87.8016,6.727085117,842.6274684,10.73959616,0.550125416,63,0.3,24.7085
"19241",3034,80,44.9625,-87.191,7.003893481,807.0779299,10.42524406,0.567821207,57,0.23,16.6664
"19426",3040,80,44.729,-91.9316,7.644818706,893.4455019,12.03023278,0.703355889,83,0.24,11.7237
"19611",3041,80,44.9194,-91.7683,7.291630241,911.6226502,12.01412908,0.696433208,41,0.29,19.0893
"19796",3050,120,45.1817,-89.7367,5.798665394,829.8102816,11.54934407,0.680277635,81,0.16,33.187
"19981",3053,80,46.0412,-89.3554,4.765060449,861.1410819,11.4143867,0.588864798,81,0.19,24.7109
"20166",3055,80,45.9403,-89.5404,4.784642978,829.4920578,11.46238886,0.580184122,85,0.1,20.0313
"20351",3058,120,46.1867,-89.7517,4.691847475,851.0020795,11.47847119,0.557482264,67,0.24,36.8761
"20536",3059,120,46.1617,-89.7983,4.657304501,843.3625013,11.50154259,0.581355567,77,0.15,24.7109
"20721",3060,120,46.0083,-89.655,4.714971328,832.3870521,11.4858976,0.573206208,73,0.2,19.8555
"20906",3062,120,45.8917,-90.055,4.860042754,845.3238224,11.50205282,0.575792536,69,0.2,35.5262
"21091",3064,80,45.9792,-89.671,4.700983087,827.7782298,11.49765104,0.582055223,71,0.16,16.0069
"21276",3077,80,45.4046,-87.8725,6.170008489,816.3460194,10.77149097,0.568090499,83,0.12,17.9967
"21461",3079,80,45.6211,-88.0428,5.856020949,826.5748135,10.9105247,0.55161635,58,0.165,16.3132
