"","sp","SLA","VH","LCC","LS","CN","LT","LNC","LDMC"
"96","Laporcanad",628.8782873,65.41666667,39.61584345,97.02422904,10.20241164,0.163900901,0.038829881,0.183358258
"97","Leersvirgi",646.1148027,46.5,43.78519694,13.92480963,13.29485923,0.07106383,0.03293393,0.325695227
"98","Leonucardi",440.3490555,100.4166667,43.71800788,12.40641156,11.51349951,0.179041667,0.037971086,0.263622773
"99","Leucavulga",185.3419845,63.8125,42.73939959,5.740195313,23.38104641,0.25625,0.018279507,0.243017158
"100","Linnaborea",229.6865515,5.333333333,46.5408535,1.528182354,37.00860374,0.263909091,0.012575685,0.282203435
"101","Lupinperen",208.0551315,34.84166667,43.95040385,69.7461568,11.97932454,0.373653846,0.036688549,0.169701623
"102","Lycopclava",222.5917181,13.0625,45.03719076,0.048571181,43.45853871,0.194583333,0.010363255,0.414969546
"103","Lycopunifl",588.8165751,30.08333333,45.75052389,11.25357407,16.70944032,0.191375,0.027380046,0.183647349
"104","Lysimcilia",390.2621973,77.75,45.05949148,34.95242669,17.55794993,0.140166667,0.025663299,0.232986423
"105","Lysimnummu",699.858753,7.62,44.74075346,2.985843912,12.65292137,0.155096774,0.035360019,0.14725855
"106","Maiancanad",355.9012965,10.04166667,44.58171781,20.58187659,23.2182758,0.198272727,0.019201132,0.202910691
"107","Maianracem",327.4218505,21.83333333,44.33527247,45.84608729,19.13485678,0.228060606,0.0231699,0.192959426
"108","Maianstell",310.0946637,24.16666667,45.01133219,17.00254522,18.16462522,0.24530303,0.024779665,0.186972212
"109","Melamlinea",496.3356679,15,38.08311017,1.855390625,13.98951695,0.134983333,0.027222606,0.183977312
"110","Mitchrepen",220.7180064,5.5,45.76540502,2.061484094,28.69982665,0.211757576,0.01594623,0.310073006
"111","Miteldiphy",483.5343435,19.66666667,42.72480901,21.73465443,16.74200936,0.165407407,0.025519523,0.232737105
"112","Moehrlater",365.324947,13.45833333,43.47063001,2.015829328,19.19510205,0.208076923,0.02264673,0.235330252
"113","Monarfistu",154.2446645,88.7625,44.76207695,12.62638184,26.84315594,0.275277778,0.016675415,0.363827086
"114","Oenotbienn",140.7693508,109.6357143,42.77059333,16.33397321,17.00913319,0.320178571,0.025145663,0.25640513
"115","Onoclsensi",509.6491752,39.41666667,46.04648972,348.0178598,13.06256049,0.173368421,0.035250738,0.182006677
"116","Oryzoasper",199.6631935,37.91666667,45.11677615,16.82495938,23.51087599,0.169142857,0.019189747,0.363982666
"117","Osmorclayt",637.4560816,52.16666667,43.91311455,306.5655026,14.91242021,0.188208333,0.029447343,0.178415945
"118","Osmorlongi",627.4480858,74.92307692,43.82662328,434.1505176,12.40235373,0.158153846,0.035337343,0.174383573
"119","Osmuncinna",445.2394275,95.16666667,45.65923195,33.8953125,13.30115802,0.294708333,0.034327261,0.180538432
"120","Osmunclayt",447.2186382,86.75,46.11561584,1711.9375,14.73040475,0.140263158,0.031306415,0.233845392
"121","Oxalistric",797.73298,28,45.79789829,11.53883073,11.45243652,0.104,0.039989655,0.153262998
"122","Packeaurea",185.5348871,43.20833333,44.30977376,20.59097222,20.81118613,0.22037037,0.021291325,0.231869672
