Binomial_correct,WD,lnSM,LMA,Hmax,DS
Diplotropis martiusii,0.633333333,5.215841145,60.40552214,23.5,NonZoo
Diplotropis purpurea,0.773209871,5.075173815,62.63603766,30.5,NonZoo
Dipteryx magnifica,0.880974009,8.215566268,91.76799569,36.81888889,SynZoo
Dipteryx odorata,0.964299738,8.709465079,67.8,50,SynZoo
Dodecastigma integrifolium,0.613,5.968054969,126.5702135,15,EndoZoo
Drypetes sessiliflora,0.693738415,6.725433722,87.60898157,25,EndoZoo
Drypetes variabilis,0.713824479,5.91148037,78.54366632,34,EndoZoo
Duguetia calycina,0.37,6.08960056,74.88408128,16,EndoZoo
Duguetia echinophora,0.74,6.08960056,80.84727952,30,EndoZoo
Duguetia flagellaris,0.723637738,6.378991954,74.01875611,10,EndoZoo
Duguetia pycnastera,0.723637738,6.08960056,74.01875611,20,EndoZoo
Duguetia stelechantha,0.849,6.08960056,74.01875611,14.02777778,EndoZoo
Duguetia surinamensis,0.8,6.745908393,44.84489275,30,EndoZoo
Dulacia candida,0.568933342,6.574145608,41.94806829,17.5,EndoZoo
Dulacia guianensis,0.568866667,6.561973173,85.22717343,21,EndoZoo
Duroia guianensis,0.763455461,3.439349148,65.62721817,14.8,EndoZoo
Duroia longiflora,0.763455461,3.439349148,149.5,22,EndoZoo
Duroia macrophylla,0.763455461,3.439349148,65.79999998,14.8,EndoZoo
Duroia saccifera,0.763455461,3.439349148,65.62721817,14.8,EndoZoo
Dussia discolor,0.550167924,8.123928356,64.20812061,24,EndoZoo
Ecclinusa guianensis,0.627245199,6.328829243,97.23869821,30,EndoZoo
Ecclinusa ramiflora,0.8705,6.730421264,112.4203827,30,EndoZoo
Elvasia tricarpellata,0.765,5.79533706,52.32258545,36,EndoZoo
Emmotum fagifolium,0.72662,6.429719478,129.965359,30,EndoZoo
Emmotum nitens,0.873375,7.418581003,144.3415073,21,EndoZoo
Endlicheria arunciflora,0.499616024,7.213375798,70.5400726,18.92037037,EndoZoo
Endlicheria multiflora,0.47,7.213375798,70.91927618,18.92037037,EndoZoo
Endlicheria sprucei,0.499616024,7.213375798,51.60000003,18.92037037,EndoZoo
Endopleura uchi,0.783104314,7.154789201,103.6593018,30,EndoZoo
Enterolobium maximum,0.406666667,6.083587116,36.78245477,45,EndoZoo
Enterolobium monjollo,0.493148613,6.083587116,60.16921658,20,EndoZoo
Enterolobium schomburgkii,0.709339957,3.915703723,86.12547211,36,EndoZoo
Ephedranthus pisocarpus,0.700325069,7.714231145,81.30962701,26,EndoZoo
Eriotheca globosa,0.482297737,4.948841033,62.35191423,36,NonZoo
Eriotheca gracilipes,0.520375,4.803621125,164.2506226,20,NonZoo
Eriotheca longipedicellata,0.483333333,4.939528411,83.15719772,51,NonZoo
Eriotheca macrophylla,0.46,5.381698975,95.058445,50,NonZoo
Erisma bicolor,0.549129192,7.095554307,86.72513764,30.5,NonZoo
Erisma uncinatum,0.526704679,6.388561406,114.3175607,45,NonZoo
Erythrina ulei,0.1735,5.761650188,46.53714975,40,EndoZoo
Erythroxylum barbatum,0.775042528,4.198211439,68.78036997,7.704616717,EndoZoo
Erythroxylum citrifolium,0.71,5.241747015,78.16384809,10,EndoZoo
Erythroxylum macrophyllum,0.698929942,4.236278058,76.78696936,10,EndoZoo
Erythroxylum squamatum,0.71,3.60004824,64.93506496,12,EndoZoo
Eschweilera amazonica,0.9,8.074482798,82.07713017,30,SynZoo
Eschweilera apiculata,0.67,8.074482798,86.90155463,30,SynZoo
Eschweilera atropetiolata,0.753,8.074482798,89.20224469,28.52898551,SynZoo
Eschweilera bracteosa,0.79860396,7.492203043,85.13177873,30,SynZoo
Eschweilera collina,0.778368986,8.074482798,152.3454592,30,SynZoo
Eschweilera complanata,0.802024312,8.074482798,89.20224469,28.52898551,SynZoo
Eschweilera coriacea,0.7741064,8.185576647,75.70475566,37,SynZoo
